CLAIMNUM,STATE,CLASS,PAID
27599,STATE 15,C11,55
28329,STATE 03,C11,14833.3
852,STATE 17,C11,3909.14
2404,STATE 12,C6 ,3876.6
27048,STATE 15,C6 ,3845
17737,STATE 15,C6 ,3106.54
22949,STATE 04,C11,3025
4593,STATE 15,C6 ,2750
11134,STATE 06,C6 ,2612.74
20264,STATE 02,C11,2057.77
13334,STATE 15,C6 ,1861.25
22949,STATE 15,C11,1773.92
21521,STATE 15,C6 ,1500
23200,STATE 15,F6 ,1259.89
28835,STATE 17,C6 ,1250.85
17726,STATE 15,C1 ,1146.25
16408,STATE 12,C6 ,1030.83
21103,STATE 04,C1 ,1008
5410,STATE 15,C6 ,900
18822,STATE 15,C6 ,825.2
2063,STATE 15,C11,824.85
20990,STATE 03,C11,672.2
4116,STATE 04,C11,669.5
3465,STATE 15,F6 ,664.34
8136,STATE 15,C11,646.08
7197,STATE 17,C6 ,641.15
7005,STATE 04,C11,586.43
21537,STATE 15,C11,581.64
6081,STATE 02,C11,428.97
22462,STATE 14,C11,408.39
12318,STATE 02,C6 ,8594.93
13991,STATE 07,C6 ,5664.35
27296,STATE 15,C6 ,4494.59
13491,STATE 06,C1 ,4330.29
7904,STATE 17,C11,4235.53
9203,STATE 15,F6 ,3953.84
28984,STATE 03,C11,3841.66
7855,STATE 15,C6 ,3584.5
19998,STATE 02,C11,3121.37
17159,STATE 15,C6 ,2730.03
481,STATE 04,C6 ,2700.03
19264,STATE 15,C11,2434.85
20210,STATE 15,F6 ,1812.46
1170,STATE 15,C11,1683.52
27638,STATE 15,C6 ,1665.51
30033,STATE 15,C11,1414.2
21103,STATE 15,C11,1250.4
7704,STATE 15,F6 ,1145.95
30557,STATE 10,C11,1015.02
23802,STATE 04,C6 ,897.81
4202,STATE 17,F6 ,865.9
29351,STATE 15,C6 ,800.16
27813,STATE 17,C11,711.34
3717,STATE 15,C6 ,705
24258,STATE 03,F1 ,670.34
1608,STATE 15,C11,580
2496,STATE 15,C6 ,540.07
3974,STATE 01,C6 ,532.04
10862,STATE 13,C11,528.32
21537,STATE 07,C11,518.55
19090,STATE 03,C11,470.77
28791,STATE 15,C6 ,245.82
14315,STATE 17,C6 ,239.37
26070,STATE 15,C6 ,206.1
3677,STATE 07,C11,78.34
34253,STATE 15,C6 ,30
16330,STATE 15,C6 ,6384
18698,STATE 04,C6 ,4623.97
24574,STATE 15,C6 ,4467.92
30759,STATE 13,C1 ,3266.49
21682,STATE 04,F6 ,2798.26
11296,STATE 15,F6 ,2500
2758,STATE 15,C6 ,2474.4
2388,STATE 17,C11,2090.07
23675,STATE 15,C6 ,2031.61
18175,STATE 10,C11,1973.82
24251,STATE 15,C6 ,1892.19
23072,STATE 15,C6 ,1887.92
10758,STATE 02,C11,1702.24
15022,STATE 10,C6 ,1541.1
7263,STATE 15,C6 ,1354.93
22114,STATE 02,F6 ,1302.65
30021,STATE 04,F6 ,1302.13
152,STATE 02,C11,1263.51
19692,STATE 15,C6 ,1092.8
1970,STATE 02,F6 ,1045
27470,STATE 02,C11,1008.53
26697,STATE 15,C6 ,879.3
33185,STATE 04,C11,811.51
7351,STATE 15,C6 ,701.52
2349,STATE 02,C11,625.52
10876,STATE 17,C11,557.18
12495,STATE 15,F6 ,519.75
152,STATE 02,F6 ,499.59
3562,STATE 02,C1 ,499.28
26347,STATE 15,F11,484.03
31165,STATE 15,F6 ,435
3087,STATE 02,F11,402.32
9131,STATE 17,F6 ,376
14144,STATE 15,C6 ,365.26
33841,STATE 15,C6 ,357
23200,STATE 03,C6 ,351.38
22001,STATE 14,C6 ,333.37
31880,STATE 04,F6 ,329.16
2404,STATE 17,C6 ,322.34
29762,STATE 03,C11,318.07
27507,STATE 15,C6 ,239.4
32388,STATE 14,C11,196.1
16958,STATE 01,C6 ,122.41
15557,STATE 15,C6 ,71.19
23658,STATE 15,C6 ,12234.82
1415,STATE 17,C11,10829.25
27711,STATE 14,C6 ,10630.81
6024,STATE 01,C11,10524.64
32556,STATE 15,F6 ,7238.13
2020,STATE 15,C11,7186.92
32591,STATE 17,C6 ,6854.02
5492,STATE 15,C11,6710.3
32182,STATE 06,C11,6130.31
14859,STATE 12,C6 ,4338.29
11450,STATE 02,C6 ,4277.12
479,STATE 15,C6 ,3783.74
16409,STATE 06,C6 ,3735.9
21280,STATE 15,F6 ,3610.27
21161,STATE 15,F6 ,3549.95
23543,STATE 15,C11,3425.62
12920,STATE 02,F6 ,3376.9
33047,STATE 12,C6 ,3206.76
32075,STATE 15,C6 ,2788.24
13608,STATE 15,C6 ,2764.49
721,STATE 02,C6 ,2724.04
16917,STATE 15,C6 ,2334.58
25799,STATE 15,F6 ,2300
11917,STATE 15,C11,2269
7406,STATE 04,C6 ,2249.45
7138,STATE 04,C11,2169.88
7605,STATE 02,C11,2015.32
18523,STATE 15,C6 ,1929.81
10758,STATE 17,F6 ,1924.69
96,STATE 15,C6 ,1638.49
22136,STATE 15,C11,1209.52
29420,STATE 02,C11,1200
26325,STATE 14,C11,1134.63
4562,STATE 15,C11,1061.8
5376,STATE 04,C11,1056.18
11917,STATE 04,C6 ,1006.41
32411,STATE 15,F6 ,989.28
33440,STATE 15,F6 ,970.31
31880,STATE 17,C11,945.8
17163,STATE 02,C11,899.13
13978,STATE 04,C11,892.6
33468,STATE 15,C6 ,865.12
8938,STATE 06,C11,782.2
23933,STATE 04,F6 ,774.68
24306,STATE 03,C11,742.91
12544,STATE 06,C1 ,683.57
11301,STATE 04,C1 ,666.33
32961,STATE 02,C6 ,649.74
27470,STATE 02,C6 ,628.19
19414,STATE 17,C11,503.78
32411,STATE 02,C6 ,498.74
27334,STATE 04,C11,444.39
3546,STATE 03,C11,405.39
2755,STATE 15,C1 ,382.33
2314,STATE 07,C6 ,304.22
21682,STATE 01,F6 ,274.8
4844,STATE 03,C11,248.49
25802,STATE 15,C6 ,195.3
19998,STATE 02,C6 ,193.23
34085,STATE 15,F6 ,187.72
7142,STATE 15,C6 ,179.55
721,STATE 15,C6 ,135.67
15954,STATE 02,C6 ,101.16
5718,STATE 15,C6 ,86.43
30759,STATE 03,C1 ,14639.15
13412,STATE 12,C1 ,11010.46
18961,STATE 07,C1B,10174.4
21562,STATE 06,F6 ,9475.74
2599,STATE 07,C11,9437.95
20623,STATE 15,C11,8124.98
7123,STATE 04,C11,7833.52
25060,STATE 06,C11,7610
15990,STATE 17,C11,7326.67
14084,STATE 17,F6 ,6986.85
25283,STATE 15,C6 ,6746.98
12545,STATE 02,C6 ,5301.72
27954,STATE 15,C6 ,4831.97
13718,STATE 10,C6 ,4476.68
20000,STATE 15,C11,4076.88
27897,STATE 06,C6 ,3740.21
12003,STATE 02,C11,3596.5
26345,STATE 15,C6 ,3043
9603,STATE 04,C11,2606.03
33330,STATE 02,C1 ,2589.5
4409,STATE 17,C6 ,2528.13
26239,STATE 03,F6 ,2501.97
24228,STATE 15,C11,2322.72
14610,STATE 15,C1 ,2133.62
33265,STATE 04,C11,1944.45
33307,STATE 06,C11,1879.54
17022,STATE 12,C1 ,1522.65
2178,STATE 14,C6 ,1491.69
33173,STATE 10,C6 ,1485.52
19425,STATE 12,C6 ,1472.05
25060,STATE 01,F6 ,1314.4
21379,STATE 15,F6 ,1223.3
5380,STATE 15,C6 ,1106.86
29075,STATE 04,C11,1032.14
2020,STATE 04,C11,1015.62
27296,STATE 15,C11,953.72
8699,STATE 02,C11,937.96
5748,STATE 07,C11,906.62
7217,STATE 17,C6 ,836.78
2388,STATE 02,C6 ,820.64
250,STATE 01,C6 ,774.87
34253,STATE 10,C6 ,696.57
19042,STATE 10,C6 ,687.56
28835,STATE 02,C11,685.88
16721,STATE 15,C6 ,581.7
5900,STATE 15,C6 ,570.89
16795,STATE 15,C1 ,548.94
7792,STATE 04,F6 ,522.75
34245,STATE 04,C11,517.97
14315,STATE 03,C11,504.46
22136,STATE 14,C1 ,491.4
2063,STATE 15,C11,479
14211,STATE 15,C6 ,462.17
25802,STATE 01,C6 ,451.53
24744,STATE 07,C1B,426.19
15218,STATE 02,F6 ,403.61
4237,STATE 15,C6 ,398.95
25285,STATE 15,C6 ,393
29683,STATE 02,C11,368.32
24385,STATE 02,C6 ,363.75
2846,STATE 15,C6 ,359.44
12131,STATE 02,C11,356.07
8434,STATE 12,C6 ,343.25
31775,STATE 15,C11,340.03
33591,STATE 15,C11,339.51
8509,STATE 04,C11,305.69
14050,STATE 04,C11,288.3
26677,STATE 14,C6 ,266.8
6419,STATE 13,C6 ,224.6
13718,STATE 02,C6 ,186.97
32059,STATE 06,C6 ,143.7
9553,STATE 10,F6 ,125
32026,STATE 04,C6 ,12124.64
21779,STATE 15,C1 ,11051.5
12985,STATE 04,C11,11043.09
6081,STATE 12,C6 ,8324.07
1530,STATE 02,C11,7885.15
18298,STATE 15,F11,7834.57
23893,STATE 17,C11,7415.03
3792,STATE 15,C11,6180.88
5642,STATE 15,C11,4369.38
28455,STATE 15,C1 ,3992.63
16409,STATE 15,C11,3651.67
22923,STATE 15,C6 ,3634.26
33591,STATE 03,C11,3599.2
31841,STATE 15,C6 ,3505.61
616,STATE 03,C11,3112.89
24295,STATE 15,C6 ,3092.83
2473,STATE 12,C1B,2683.16
11768,STATE 15,C11,2606
1784,STATE 15,C6 ,2520
18396,STATE 02,C11,2500
11627,STATE 15,C6 ,2460.3
12003,STATE 04,C11,2253.16
11450,STATE 15,C6 ,2229.05
29395,STATE 15,C11,2130.6
24954,STATE 04,F6 ,2049
8115,STATE 15,C6 ,1994.56
10591,STATE 15,C11,1921.22
29187,STATE 15,C6 ,1701.82
3605,STATE 15,C1 ,1472.87
31880,STATE 15,C11,1468.48
17550,STATE 15,C11,1444.89
11450,STATE 07,C6 ,1392.52
481,STATE 17,C11,1368.76
4296,STATE 17,C6 ,1346.36
30436,STATE 17,C11,1335.27
17539,STATE 15,C1 ,1304.64
23253,STATE 04,F11,1275
25090,STATE 17,C11,1264.87
17222,STATE 15,C6 ,1231.08
16794,STATE 13,C11,1073.61
23933,STATE 06,C6 ,1028.87
23543,STATE 15,C6 ,997.05
269,STATE 15,C1 ,944.7
31957,STATE 15,C6 ,910.68
3298,STATE 03,C11,904.68
22838,STATE 15,C6 ,872.18
14893,STATE 15,C6 ,868.69
15528,STATE 17,C11,801.39
23571,STATE 15,C11,772.23
631,STATE 12,C6 ,764.1
22001,STATE 15,C6 ,730.53
17098,STATE 15,C11,714.55
29609,STATE 01,F6 ,708.92
32026,STATE 04,C11,701.82
1295,STATE 15,C6 ,688.67
9653,STATE 15,C11,685.59
8115,STATE 02,F6 ,640.86
19933,STATE 15,C6 ,596
26379,STATE 15,C6 ,565.39
27334,STATE 15,C11,557.57
2758,STATE 15,C6 ,549.96
11330,STATE 06,C6 ,515
26247,STATE 15,C11,505
27945,STATE 04,C11,495.48
33587,STATE 07,C6 ,461.84
9246,STATE 02,C11,456.56
20191,STATE 02,C11,447.66
5020,STATE 04,C11,362.63
120,STATE 15,C1 ,359.41
18523,STATE 15,F6 ,358.47
26677,STATE 14,C6 ,358.46
21084,STATE 02,C6 ,354.29
21809,STATE 02,F11,354.27
23404,STATE 15,C6 ,332.84
20141,STATE 02,C1 ,331.59
19232,STATE 15,C11,322.41
7707,STATE 15,C6 ,264.6
22962,STATE 17,C6 ,262.81
33858,STATE 02,C1 ,250
3305,STATE 02,C6 ,244.11
24745,STATE 14,C1 ,226.41
19852,STATE 15,C6 ,119.98
120,STATE 15,C6 ,53.7
7484,STATE 15,C6 ,9619.48
26325,STATE 02,F6 ,9377.82
13991,STATE 06,C1 ,7487.11
4491,STATE 15,C6 ,7444.98
14859,STATE 06,C6 ,6621.64
272,STATE 15,C6 ,6460.23
17157,STATE 15,C6 ,6282.92
30498,STATE 03,C6 ,5871.55
5304,STATE 15,C6 ,5792.79
3580,STATE 04,F1 ,5748.28
31050,STATE 02,C6 ,5540.07
14084,STATE 04,C1 ,5390.83
27039,STATE 02,C6 ,4318.67
2309,STATE 15,C1B,4218.09
15551,STATE 15,C1 ,4173.63
15457,STATE 13,C11,4043.46
10206,STATE 15,C6 ,3367.26
13978,STATE 06,C6 ,3234.22
2054,STATE 15,C11,3118.5
120,STATE 12,C6 ,3023
28089,STATE 01,C6 ,2983.48
34220,STATE 12,C6 ,2815.14
10565,STATE 15,C11,2495.8
30925,STATE 15,C6 ,2362.89
14992,STATE 14,C11,2288
22179,STATE 15,C11,2007.78
7217,STATE 07,C6 ,1936.69
18773,STATE 02,C6 ,1816.41
27798,STATE 17,C6 ,1595.67
2289,STATE 02,C11,1553.53
28753,STATE 01,F6 ,1500
15589,STATE 12,C6 ,1463.34
7160,STATE 15,C1 ,1441.76
22199,STATE 15,C11,1388.48
19993,STATE 14,C6 ,1384.13
33440,STATE 02,C6 ,1298.89
23339,STATE 02,C11,1278.84
4202,STATE 15,C11,1176.97
641,STATE 15,C6 ,1139.6
25606,STATE 04,C11,1113.15
19877,STATE 14,F1 ,1111.55
32739,STATE 07,C11,1061.67
29440,STATE 03,C6 ,1061.34
26918,STATE 15,C6 ,1039.33
8999,STATE 15,C11,1029
12544,STATE 02,C11,1007.6
617,STATE 15,C6 ,1000
14831,STATE 02,C6 ,958.34
12821,STATE 02,C11,952.05
4184,STATE 15,C11,921.93
10226,STATE 04,C11,870.19
11696,STATE 04,C6 ,821.81
18353,STATE 15,C6 ,806.61
9331,STATE 17,C6 ,761.19
6579,STATE 15,C6 ,746.89
20167,STATE 04,C11,733.99
2154,STATE 15,C11,724.77
29561,STATE 15,C11,713.42
12670,STATE 10,C11,688.55
2256,STATE 15,C6 ,688.3
25235,STATE 04,C11,685.13
9520,STATE 02,C6 ,644.87
9047,STATE 03,C6 ,640.85
24745,STATE 02,C6 ,638.2
18501,STATE 15,C6 ,618.13
2599,STATE 17,C11,595.65
3605,STATE 04,F1 ,512.28
15680,STATE 15,C1 ,507.31
2264,STATE 06,C11,502.28
16842,STATE 07,C11,489.86
27048,STATE 15,C6 ,489.1
29162,STATE 15,C6 ,485.66
10997,STATE 15,F6 ,443.1
1092,STATE 14,F6 ,420.14
4188,STATE 15,C6 ,411.9
14167,STATE 15,C6 ,293.75
22687,STATE 17,C6 ,257.41
32075,STATE 17,C6 ,248.86
33125,STATE 03,C11,189.84
31413,STATE 02,C6 ,188.61
33858,STATE 06,C6 ,152.41
27433,STATE 17,C11,150.01
24672,STATE 02,C11,117.4
9793,STATE 15,C1 ,68
2758,STATE 04,C11,42.32
2755,STATE 02,C1 ,12714.43
32532,STATE 15,C6 ,10116.07
1104,STATE 15,F6 ,9704.25
25761,STATE 02,C1B,8523.02
22199,STATE 06,C6 ,7063.08
20975,STATE 17,C1 ,5881.62
19796,STATE 04,C11,4962.54
2492,STATE 11,C6 ,4635
2063,STATE 15,C6 ,4516.61
17144,STATE 17,C11,4387.11
17363,STATE 06,C6 ,4288.59
14211,STATE 15,C6 ,4098.25
16794,STATE 15,C6 ,3334.19
8748,STATE 15,C6 ,3076.32
23658,STATE 15,C6 ,2866.99
28195,STATE 07,C6 ,2786.21
21766,STATE 06,C11,2679.55
17488,STATE 15,C6 ,2591.51
32637,STATE 15,C6 ,2500
30925,STATE 15,C6 ,2440.38
28990,STATE 15,C11,2425
12843,STATE 15,C11,2330
34035,STATE 15,C6 ,2266
15425,STATE 06,C6 ,2203.94
5718,STATE 15,C6 ,2186.7
16585,STATE 17,C11,2144.46
30164,STATE 15,C11,1972.9
11883,STATE 04,C11,1949.14
19933,STATE 17,C6 ,1887.98
24258,STATE 15,C6 ,1852.5
6543,STATE 15,C6 ,1834.35
27487,STATE 06,C1B,1765.83
6882,STATE 15,C6 ,1722.82
32784,STATE 15,C6 ,1705
4925,STATE 03,C11,1699.52
21310,STATE 15,C6 ,1595.28
6330,STATE 15,C6 ,1539.07
25406,STATE 17,C6 ,1494.41
13160,STATE 10,C1 ,1476.43
27551,STATE 02,C6 ,1465.95
32351,STATE 15,C6 ,1460.96
30384,STATE 15,C6 ,1460.2
26247,STATE 15,C11,1458.13
15704,STATE 04,C11,1371.66
20907,STATE 02,C11,1370.45
32056,STATE 04,C11,1349.86
12003,STATE 04,C11,1327.24
11363,STATE 15,C6 ,1256.02
8397,STATE 07,C6 ,1253.41
12003,STATE 15,C6 ,1216.32
23893,STATE 01,C6 ,1172.96
29414,STATE 15,F6 ,1119.52
16924,STATE 04,C11,1115.91
7586,STATE 12,C6 ,1077.66
11912,STATE 02,C6 ,1072.24
24771,STATE 02,C11,1064.77
14357,STATE 02,C1 ,1051.47
7904,STATE 03,C11,1025.02
27843,STATE 02,C6 ,1018.5
7748,STATE 15,C11,990.07
24771,STATE 01,F11,988.75
775,STATE 15,C11,987.73
1359,STATE 10,C6 ,987
21376,STATE 15,C11,966.85
11064,STATE 15,C6 ,961.55
4708,STATE 03,C6 ,924.61
7855,STATE 06,C11,904.84
4682,STATE 15,C6 ,887.04
26580,STATE 03,F6 ,856.26
3974,STATE 01,C11,853.88
27843,STATE 15,C6 ,822.2
13236,STATE 15,C1 ,782.44
9603,STATE 02,C11,729.32
13748,STATE 15,C6 ,706.22
25198,STATE 15,C1 ,700
7218,STATE 04,C11,699.49
7776,STATE 17,F6 ,677.76
3921,STATE 14,C1 ,646.17
33865,STATE 02,C11,629.84
23571,STATE 15,C11,604.75
25406,STATE 02,C11,601.23
26032,STATE 15,C11,596.32
28157,STATE 04,C6 ,563.78
8723,STATE 15,C6 ,563.58
7218,STATE 03,C11,527.81
23380,STATE 02,F6 ,500.37
20148,STATE 15,C1B,492.56
10945,STATE 15,C11,477.96
2492,STATE 04,C11,459
18177,STATE 14,F6 ,414.34
10329,STATE 03,C11,408.9
5152,STATE 04,C11,407.66
17707,STATE 17,C6 ,397.99
28195,STATE 03,C11,397.51
10591,STATE 15,C11,380
25438,STATE 14,C1 ,377.36
7005,STATE 02,C11,368.93
631,STATE 15,C6 ,356.25
20687,STATE 15,C11,329.98
2023,STATE 15,C1 ,319.67
29615,STATE 15,C6 ,317.56
4799,STATE 13,C1 ,309.39
30436,STATE 06,C6 ,297.49
7996,STATE 15,C6 ,294.84
26347,STATE 17,C6 ,279.1
29615,STATE 15,C1B,244.4
10884,STATE 03,C11,201.81
10945,STATE 15,C6 ,200
19619,STATE 04,F6 ,196
18619,STATE 17,F6 ,176.07
1154,STATE 10,F6 ,169.5
15457,STATE 15,C11,161.43
32142,STATE 17,F6 ,154.75
11030,STATE 11,C11,146.11
1664,STATE 15,C6 ,79.59
11030,STATE 15,C6 ,28083.99
7263,STATE 15,C6 ,15566.84
33125,STATE 15,C11,13193.1
32120,STATE 03,C6 ,9811.3
29837,STATE 02,F6 ,8493.76
14375,STATE 15,C11,6132.24
569,STATE 15,C6 ,5037.9
25680,STATE 03,C11,4885.08
22942,STATE 15,C6 ,3978.09
19232,STATE 15,C6 ,3846.07
23963,STATE 17,F6 ,3809.83
25693,STATE 06,C1 ,3334.21
5382,STATE 02,C11,3222.66
3763,STATE 03,C11,2997.83
4929,STATE 14,F6 ,2750
155,STATE 02,C6 ,2607.81
5718,STATE 13,C11,2511.41
33466,STATE 17,C11,2254.87
24758,STATE 15,C6 ,2179.51
19330,STATE 13,C6 ,2149.17
5304,STATE 15,C6 ,1975
2314,STATE 17,C6 ,1897.85
24896,STATE 02,C6 ,1857.92
29857,STATE 15,C6 ,1697.72
16795,STATE 01,F6 ,1619.1
829,STATE 02,C11,1513.56
30925,STATE 04,C11,1500.65
21809,STATE 07,C6 ,1488.14
9647,STATE 15,C11,1442.94
17417,STATE 15,C6 ,1437.68
19877,STATE 15,C6 ,1350.04
21537,STATE 04,C6 ,1237.06
13906,STATE 14,C6 ,1200
5340,STATE 15,C6 ,1122.33
5304,STATE 02,F6 ,1113.38
19826,STATE 15,C1 ,1082.25
14263,STATE 06,C6 ,1059.58
11763,STATE 17,C11,1037.14
3572,STATE 14,C6 ,1000.03
10129,STATE 17,C11,957.72
16532,STATE 12,C11,954.6
33858,STATE 14,F6 ,953.15
34210,STATE 12,C6 ,917.88
27813,STATE 02,C6 ,903.93
24574,STATE 02,C11,870.6
22704,STATE 15,C6 ,860.34
30431,STATE 15,C6 ,849.68
30357,STATE 01,C6 ,846.97
17363,STATE 02,C6 ,842.8
13334,STATE 02,C6 ,818.55
15589,STATE 10,C11,787.62
20918,STATE 04,C6 ,783.6
6869,STATE 17,F6 ,766.4
4780,STATE 17,C11,743.42
24706,STATE 03,C1 ,706.58
9811,STATE 15,C6 ,703.76
19630,STATE 02,C6 ,677.88
97,STATE 02,C1 ,673.76
1314,STATE 15,C6 ,663.17
9920,STATE 15,C11,640.4
14263,STATE 02,F6 ,633.48
18619,STATE 14,F6 ,619.06
23308,STATE 01,F1 ,605.43
33455,STATE 07,C6 ,600
2492,STATE 06,C2 ,544.9
15551,STATE 15,C6 ,497.35
5954,STATE 02,C11,465.45
33498,STATE 15,C6 ,454.65
3580,STATE 06,C1B,419.18
23893,STATE 04,C11,408.73
13734,STATE 15,C6 ,399.29
18089,STATE 15,C11,371.6
7386,STATE 15,C6 ,370.79
2939,STATE 17,C11,366.19
34055,STATE 03,C11,342.08
11907,STATE 03,C11,312.58
17933,STATE 15,C11,308.7
26989,STATE 17,C11,298.62
18204,STATE 02,C11,220
19330,STATE 15,C6 ,220
24251,STATE 12,C6 ,208.85
9524,STATE 02,C6 ,206.05
21455,STATE 15,C6 ,189.06
2325,STATE 15,C11,175
9172,STATE 15,C6 ,160.2
6882,STATE 17,C11,133.75
24062,STATE 15,C2 ,130.94
5882,STATE 15,C1 ,105.5
5001,STATE 15,C6 ,81.24
2178,STATE 15,C6 ,75
19913,STATE 02,C6 ,65.84
34035,STATE 15,C6 ,35.45
11763,STATE 02,C6 ,35
28137,STATE 12,C1B,25
32667,STATE 15,F11,23015.61
34245,STATE 12,C1 ,9526.8
3668,STATE 12,C6 ,8323.31
26676,STATE 15,C6 ,7085.35
32330,STATE 15,C1 ,6857.5
32075,STATE 15,C1 ,6751.49
19686,STATE 04,C11,6419.37
30085,STATE 17,C6 ,6291.84
17157,STATE 10,F6 ,5999.42
11134,STATE 15,C6 ,5601.33
24959,STATE 15,C6 ,5502.07
17832,STATE 15,C6 ,5262.48
6295,STATE 15,C6 ,4921.14
23795,STATE 15,C11,4904.64
33455,STATE 14,C6 ,4096.58
4196,STATE 02,C11,3749.91
15599,STATE 02,C1 ,3708.88
10106,STATE 14,F6 ,3471.25
16220,STATE 15,C6 ,3334.65
18384,STATE 15,C6 ,3126.33
21310,STATE 15,C11,3009.29
33841,STATE 15,C1 ,2458.07
5,STATE 04,C6 ,2425.62
34245,STATE 06,C1 ,2360.95
5514,STATE 15,C6 ,2360.87
872,STATE 15,C6 ,2173.7
5718,STATE 02,C11,2011.26
30799,STATE 15,F6 ,1954.97
5514,STATE 04,C11,1937.14
2027,STATE 06,C1 ,1764.25
23020,STATE 15,C6 ,1755.95
6579,STATE 01,F6 ,1724.86
25090,STATE 17,F6 ,1690.5
15436,STATE 04,C11,1614
28862,STATE 17,C11,1515.02
6234,STATE 15,C6 ,1445.35
17791,STATE 04,C11,1443.65
27954,STATE 17,C11,1433.45
8397,STATE 14,C1 ,1404.12
22002,STATE 15,C6 ,1288.76
32582,STATE 15,C6 ,1279.43
11199,STATE 15,C11,1271.81
26023,STATE 02,C6 ,1250
3677,STATE 17,C6 ,1176.91
16409,STATE 15,C1 ,1170.56
10117,STATE 15,C6 ,1160.63
19993,STATE 15,C6 ,1113.92
26919,STATE 04,C6 ,1098.37
30908,STATE 15,C6 ,1051.93
31507,STATE 15,C6 ,1048.32
14458,STATE 15,C6 ,998.28
18553,STATE 15,C11,987.19
11696,STATE 15,C6 ,959.81
27739,STATE 17,C11,928.81
16026,STATE 04,C11,914.62
14908,STATE 02,C11,897.41
1387,STATE 15,C6 ,891.44
12785,STATE 15,C6 ,853.46
23552,STATE 15,C1B,830.26
24975,STATE 02,C11,821.48
569,STATE 02,C6 ,821
17159,STATE 12,C6 ,818.79
33617,STATE 17,C11,796.55
12478,STATE 15,C11,779.25
21426,STATE 06,C6 ,773.72
28954,STATE 04,C11,705.2
28551,STATE 06,C11,659
32156,STATE 02,C11,658.98
30557,STATE 15,C6 ,651.57
28551,STATE 01,F6 ,646.79
7218,STATE 03,C11,616.53
6571,STATE 15,C6 ,603.09
12821,STATE 15,C6 ,600.83
8381,STATE 03,C11,586.25
5376,STATE 17,C6 ,584.61
8336,STATE 12,C6 ,557.96
21376,STATE 15,F6 ,525
7586,STATE 02,C6 ,485.9
18271,STATE 04,C11,481
7769,STATE 15,C6 ,466.8
7406,STATE 02,C11,457.64
28737,STATE 07,C11,450.11
26773,STATE 15,C6 ,437.03
23180,STATE 02,C11,417.04
25060,STATE 15,C6 ,403.97
25150,STATE 15,C6 ,399.9
9172,STATE 15,C11,395.01
7586,STATE 15,C6 ,371.63
631,STATE 15,C11,365.5
24745,STATE 02,C6 ,363.93
27303,STATE 15,C6 ,355
26338,STATE 10,C11,319.48
23339,STATE 15,C6 ,317.5
3298,STATE 03,C11,302.45
11701,STATE 15,C6 ,300
32013,STATE 02,C6 ,299.63
569,STATE 15,C1 ,297.28
17539,STATE 14,C6 ,295.27
11768,STATE 15,C6 ,280.05
20135,STATE 03,C11,275.43
27599,STATE 15,C11,233.42
28795,STATE 06,C6 ,218.48
